Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
FTGoalsFor,2,2,Success
FTGoalsAgainst,8,2,Success
TeamGS,8,7,Success
TeamGC,10,10,Success
TeamPoints,9,6,Success
MatchWeek,9,10,Success
TeamFormPts,10,5,Success
WinStreak3,4,2,Success
WinStreak5,5,2,Success
LossStreak3,4,2,Success
LossStreak5,2,2,Success
TeamGD,10,6,Success
TeamDiffPts,9,6,Success
TeamDiffFormPts,9,7,Success
Opponent,N/A,N/A,No numeric data in column.
IsHome,Error,Error,"An error occurred during embedding: numpy boolean subtract, the `-` operator, is not supported, use the bitwise_xor, the `^` operator, or the logical_xor function instead."
