Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
FTGoalsFor,1,2,Success
FTGoalsAgainst,4,2,Success
TeamGS,8,9,Success
TeamGC,9,7,Success
TeamPoints,10,4,Success
MatchWeek,9,7,Success
TeamFormPts,10,2,Success
WinStreak3,2,2,Success
WinStreak5,1,2,Success
LossStreak3,3,2,Success
LossStreak5,2,2,Success
TeamGD,9,6,Success
TeamDiffPts,2,6,Success
TeamDiffFormPts,6,7,Success
Opponent,N/A,N/A,No numeric data in column.
IsHome,Error,Error,"An error occurred during embedding: numpy boolean subtract, the `-` operator, is not supported, use the bitwise_xor, the `^` operator, or the logical_xor function instead."
