Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
FTGoalsFor,4,2,Success
FTGoalsAgainst,5,2,Success
TeamGS,9,7,Success
TeamGC,10,6,Success
TeamPoints,9,8,Success
MatchWeek,7,9,Success
TeamFormPts,9,4,Success
WinStreak3,8,2,Success
WinStreak5,10,2,Success
LossStreak3,5,2,Success
LossStreak5,4,2,Success
TeamGD,10,8,Success
TeamDiffPts,5,4,Success
TeamDiffFormPts,9,6,Success
Opponent,N/A,N/A,No numeric data in column.
IsHome,Error,Error,"An error occurred during embedding: numpy boolean subtract, the `-` operator, is not supported, use the bitwise_xor, the `^` operator, or the logical_xor function instead."
