Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
FTGoalsFor,3,2,Success
FTGoalsAgainst,2,2,Success
TeamGS,10,9,Success
TeamGC,9,9,Success
TeamPoints,5,8,Success
MatchWeek,10,9,Success
TeamFormPts,8,2,Success
WinStreak3,2,2,Success
WinStreak5,1,2,Success
LossStreak3,10,2,Success
LossStreak5,1,2,Success
TeamGD,6,6,Success
TeamDiffPts,8,5,Success
TeamDiffFormPts,8,4,Success
Opponent,N/A,N/A,No numeric data in column.
IsHome,Error,Error,"An error occurred during embedding: numpy boolean subtract, the `-` operator, is not supported, use the bitwise_xor, the `^` operator, or the logical_xor function instead."
